ID,Year,Month,Day,Temp,Logger,Type
130,2013,12,17,-0.557166667,Con.3,Coniferous
131,2013,12,17,-1.305541667,Con.5,Coniferous
132,2013,12,17,-1.34425,Con.7,Coniferous
133,2014,2,17,-0.677416667,Con.1,Coniferous
134,2014,2,17,-0.997,Con.3,Coniferous
135,2014,2,17,-1.2215,Con.5,Coniferous
136,2014,2,17,-1.47,Con.7,Coniferous
137,2014,3,17,-0.091166667,Con.1,Coniferous
138,2014,3,17,-0.012916667,Con.3,Coniferous
139,2014,3,17,-0.382416667,Con.5,Coniferous
140,2014,3,17,-0.694541667,Con.7,Coniferous
141,2014,1,18,-1.075625,Con.1,Coniferous
142,2014,1,18,-1.289833333,Con.3,Coniferous
143,2014,1,18,-2.082,Con.5,Coniferous
144,2014,1,18,-1.84725,Con.7,Coniferous
145,2013,12,18,-0.51,Con.1,Coniferous
146,2013,12,18,-0.515333333,Con.3,Coniferous
147,2013,12,18,-1.473458333,Con.5,Coniferous
148,2013,12,18,-1.574791667,Con.7,Coniferous
149,2014,2,18,-0.279416667,Con.1,Coniferous
150,2014,2,18,-0.577833333,Con.3,Coniferous
151,2014,2,18,-0.781,Con.5,Coniferous
152,2014,2,18,-0.84125,Con.7,Coniferous
153,2014,3,18,0.327583333,Con.1,Coniferous
154,2014,3,18,0.259,Con.3,Coniferous
155,2014,3,18,-0.046833333,Con.5,Coniferous
156,2014,3,18,-0.170583333,Con.7,Coniferous
157,2014,1,19,-0.51,Con.1,Coniferous
158,2014,1,19,-0.912958333,Con.3,Coniferous
159,2014,1,19,-1.389416667,Con.5,Coniferous
160,2014,1,19,-1.281375,Con.7,Coniferous
161,2013,12,19,0.097083333,Con.1,Coniferous
162,2013,12,19,0.008,Con.3,Coniferous
163,2013,12,19,-0.55,Con.5,Coniferous
164,2013,12,19,-0.547833333,Con.7,Coniferous
165,2014,2,19,0.118,Con.1,Coniferous
166,2014,2,19,-0.05475,Con.3,Coniferous
167,2014,2,19,-0.298333333,Con.5,Coniferous
168,2014,2,19,-0.443041667,Con.7,Coniferous
169,2014,3,19,0.621,Con.1,Coniferous
170,2014,3,19,0.51,Con.3,Coniferous
171,2014,3,19,0.037,Con.5,Coniferous
172,2014,3,19,0.039,Con.7,Coniferous
173,2014,1,2,-0.907958333,Con.1,Coniferous
174,2014,1,2,-1.352583333,Con.3,Coniferous
175,2014,1,2,-2.019,Con.5,Coniferous
176,2014,1,2,-2.014916667,Con.7,Coniferous
177,2013,12,2,1.458666667,Con.1,Coniferous
178,2013,12,2,1.6395,Con.3,Coniferous
179,2013,12,2,0.834416667,Con.5,Coniferous
180,2013,12,2,0.835416667,Con.7,Coniferous
181,2014,2,2,-0.740291667,Con.1,Coniferous
182,2014,2,2,-1.017916667,Con.3,Coniferous
183,2014,2,2,-1.34725,Con.5,Coniferous
184,2014,2,2,-1.742458333,Con.7,Coniferous
185,2014,3,2,-1.39,Con.1,Coniferous
186,2014,3,2,-1.917333333,Con.3,Coniferous
187,2014,3,2,-1.914,Con.5,Coniferous
188,2014,3,2,-2.623,Con.7,Coniferous
189,2014,1,20,-0.049375,Con.1,Coniferous
190,2014,1,20,-0.285,Con.3,Coniferous
191,2014,1,20,-0.675875,Con.5,Coniferous
192,2014,1,20,-0.652625,Con.7,Coniferous
193,2013,12,20,-0.384,Con.1,Coniferous
194,2013,12,20,-0.473083333,Con.3,Coniferous
195,2013,12,20,-1.326291667,Con.5,Coniferous
196,2013,12,20,-1.302333333,Con.7,Coniferous
197,2014,2,20,0.264708333,Con.1,Coniferous
198,2014,2,20,0.049833333,Con.3,Coniferous
199,2014,2,20,0.037,Con.5,Coniferous
200,2014,2,20,-0.002916667,Con.7,Coniferous
201,2014,3,20,0.621,Con.1,Coniferous
202,2014,3,20,0.51,Con.3,Coniferous
203,2014,3,20,0.037,Con.5,Coniferous
204,2014,3,20,0.039,Con.7,Coniferous
205,2014,1,21,-1.410958333,Con.1,Coniferous
206,2014,1,21,-2.00125,Con.3,Coniferous
207,2014,1,21,-2.754,Con.5,Coniferous
208,2014,1,21,-2.476375,Con.7,Coniferous
209,2013,12,21,-0.32125,Con.1,Coniferous
210,2013,12,21,-0.43125,Con.3,Coniferous
211,2013,12,21,-1.179583333,Con.5,Coniferous
212,2013,12,21,-0.967,Con.7,Coniferous
213,2014,2,21,0.621,Con.1,Coniferous
214,2014,2,21,0.51,Con.3,Coniferous
215,2014,2,21,0.037,Con.5,Coniferous
216,2014,2,21,0.039,Con.7,Coniferous
217,2014,3,21,0.621,Con.1,Coniferous
218,2014,3,21,0.51,Con.3,Coniferous
219,2014,3,21,0.058,Con.5,Coniferous
220,2014,3,21,0.039,Con.7,Coniferous
221,2014,1,22,-1.620541667,Con.1,Coniferous
222,2014,1,22,-2.189666667,Con.3,Coniferous
223,2014,1,22,-2.817,Con.5,Coniferous
224,2014,1,22,-2.749,Con.7,Coniferous
225,2013,12,22,-0.0075,Con.1,Coniferous
226,2013,12,22,-0.096583333,Con.3,Coniferous
227,2013,12,22,-0.697,Con.5,Coniferous
228,2013,12,22,-0.610708333,Con.7,Coniferous
229,2014,2,22,0.264708333,Con.1,Coniferous
230,2014,2,22,0.008,Con.3,Coniferous
231,2014,2,22,-0.2145,Con.5,Coniferous
232,2014,2,22,-0.401125,Con.7,Coniferous
233,2014,3,22,0.537166667,Con.1,Coniferous
234,2014,3,22,0.405416667,Con.3,Coniferous
235,2014,3,22,-0.004916667,Con.5,Coniferous
236,2014,3,22,0.018041667,Con.7,Coniferous
237,2014,1,23,-1.934916667,Con.1,Coniferous
238,2014,1,23,-2.755,Con.3,Coniferous
239,2014,1,23,-3.678,Con.5,Coniferous
240,2014,1,23,-3.420125,Con.7,Coniferous
241,2013,12,23,-0.384291667,Con.1,Coniferous
242,2013,12,23,-0.368666667,Con.3,Coniferous
243,2013,12,23,-1.116625,Con.5,Coniferous
244,2013,12,23,-0.904125,Con.7,Coniferous
245,2014,2,23,-0.279416667,Con.1,Coniferous
246,2014,2,23,-0.556916667,Con.3,Coniferous
247,2014,2,23,-0.969875,Con.5,Coniferous
248,2014,2,23,-1.511916667,Con.7,Coniferous
249,2014,3,23,-0.174833333,Con.1,Coniferous
250,2014,3,23,-0.305875,Con.3,Coniferous
251,2014,3,23,-0.424291667,Con.5,Coniferous
252,2014,3,23,-0.757416667,Con.7,Coniferous
253,2014,1,24,-1.76725,Con.1,Coniferous
254,2014,1,24,-2.587291667,Con.3,Coniferous
255,2014,1,24,-3.048,Con.5,Coniferous
256,2014,1,24,-3.021833333,Con.7,Coniferous
257,2013,12,24,-1.180416667,Con.1,Coniferous
258,2013,12,24,-1.206166667,Con.3,Coniferous
259,2013,12,24,-2.229,Con.5,Coniferous
260,2013,12,24,-2.119708333,Con.7,Coniferous
261,2014,2,24,-0.614541667,Con.1,Coniferous
262,2014,2,24,-0.976041667,Con.3,Coniferous
263,2014,2,24,-1.305333333,Con.5,Coniferous
264,2014,2,24,-2.056833333,Con.7,Coniferous
265,2014,3,24,-0.112083333,Con.1,Coniferous
266,2014,3,24,-0.054916667,Con.3,Coniferous
267,2014,3,24,-0.382541667,Con.5,Coniferous
268,2014,3,24,-0.652625,Con.7,Coniferous
269,2014,1,25,-0.949875,Con.1,Coniferous
270,2014,1,25,-1.582791667,Con.3,Coniferous
271,2014,1,25,-1.935291667,Con.5,Coniferous
272,2014,1,25,-1.847333333,Con.7,Coniferous
273,2013,12,25,-0.50975,Con.1,Coniferous
274,2013,12,25,-0.536083333,Con.3,Coniferous
275,2013,12,25,-1.242583333,Con.5,Coniferous
276,2013,12,25,-1.029875,Con.7,Coniferous
277,2014,2,25,-0.907958333,Con.1,Coniferous
278,2014,2,25,-1.31075,Con.3,Coniferous
279,2014,2,25,-1.515041667,Con.5,Coniferous
280,2014,2,25,-2.329333333,Con.7,Coniferous
281,2014,3,25,-0.468,Con.1,Coniferous
282,2014,3,25,-0.473375,Con.3,Coniferous
283,2014,3,25,-0.550166667,Con.5,Coniferous
284,2014,3,25,-0.967,Con.7,Coniferous
285,2014,1,26,-1.159458333,Con.1,Coniferous
286,2014,1,26,-1.813041667,Con.3,Coniferous
287,2014,1,26,-2.166041667,Con.5,Coniferous
288,2014,1,26,-2.26675,Con.7,Coniferous
289,2013,12,26,-0.237583333,Con.1,Coniferous
290,2013,12,26,-0.284833333,Con.3,Coniferous
291,2013,12,26,-0.885916667,Con.5,Coniferous
292,2013,12,26,-0.694541667,Con.7,Coniferous
293,2014,2,26,-1.683416667,Con.1,Coniferous
294,2014,2,26,-2.105875,Con.3,Coniferous
295,2014,2,26,-2.544,Con.5,Coniferous
296,2014,2,26,-3.525166667,Con.7,Coniferous
297,2014,3,26,-0.594041667,Con.1,Coniferous
298,2014,3,26,-0.703625,Con.3,Coniferous
299,2014,3,26,-0.718083333,Con.5,Coniferous
300,2014,3,26,-0.946041667,Con.7,Coniferous
301,2014,1,27,-1.180416667,Con.1,Coniferous
302,2014,1,27,-1.666333333,Con.3,Coniferous
303,2014,1,27,-2.103,Con.5,Coniferous
304,2014,1,27,-2.392416667,Con.7,Coniferous
305,2013,12,27,-0.028416667,Con.1,Coniferous
306,2013,12,27,-0.1175,Con.3,Coniferous
307,2013,12,27,-0.634,Con.5,Coniferous
308,2013,12,27,-0.359208333,Con.7,Coniferous
309,2014,2,27,-1.830125,Con.1,Coniferous
310,2014,2,27,-2.357291667,Con.3,Coniferous
311,2014,2,27,-2.712,Con.5,Coniferous
312,2014,2,27,-3.714166667,Con.7,Coniferous
313,2014,3,27,0.327583333,Con.1,Coniferous
314,2014,3,27,0.32175,Con.3,Coniferous
315,2014,3,27,0.037,Con.5,Coniferous
316,2014,3,27,0.039,Con.7,Coniferous
317,2014,1,28,-1.893,Con.1,Coniferous
318,2014,1,28,-2.462083333,Con.3,Coniferous
319,2014,1,28,-3.069,Con.5,Coniferous
320,2014,1,28,-3.189583333,Con.7,Coniferous
321,2013,12,28,0.138958333,Con.1,Coniferous
322,2013,12,28,0.175333333,Con.3,Coniferous
323,2013,12,28,-0.130666667,Con.5,Coniferous
324,2013,12,28,0.039,Con.7,Coniferous
325,2014,2,28,-2.060666667,Con.1,Coniferous
326,2014,2,28,-2.712958333,Con.3,Coniferous
327,2014,2,28,-2.817,Con.5,Coniferous
328,2014,2,28,-3.755958333,Con.7,Coniferous
329,2014,3,28,0.621,Con.1,Coniferous
330,2014,3,28,0.51,Con.3,Coniferous
331,2014,3,28,0.037,Con.5,Coniferous
332,2014,3,28,0.039,Con.7,Coniferous
333,2014,1,29,-1.6415,Con.1,Coniferous
334,2014,1,29,-2.336333333,Con.3,Coniferous
335,2014,1,29,-2.649,Con.5,Coniferous
336,2014,1,29,-3.1055,Con.7,Coniferous
337,2013,12,29,0.013541667,Con.1,Coniferous
338,2013,12,29,-0.054958333,Con.3,Coniferous
339,2013,12,29,-0.592333333,Con.5,Coniferous
340,2013,12,29,-0.2125,Con.7,Coniferous
341,2014,1,3,-1.243291667,Con.1,Coniferous
342,2014,1,3,-1.666333333,Con.3,Coniferous
343,2014,1,3,-2.544,Con.5,Coniferous
344,2014,1,3,-2.581208333,Con.7,Coniferous
345,2013,12,3,2.714916667,Con.1,Coniferous
346,2013,12,3,2.748083333,Con.3,Coniferous
347,2013,12,3,2.176375,Con.5,Coniferous
348,2013,12,3,2.595375,Con.7,Coniferous
349,2014,2,3,-1.033708333,Con.1,Coniferous
350,2014,2,3,-1.499,Con.3,Coniferous
351,2014,2,3,-1.977,Con.5,Coniferous
352,2014,2,3,-2.2245,Con.7,Coniferous
353,2014,3,3,-1.725333333,Con.1,Coniferous
354,2014,3,3,-2.189625,Con.3,Coniferous
355,2014,3,3,-2.25,Con.5,Coniferous
356,2014,3,3,-3.021791667,Con.7,Coniferous
357,2014,1,30,-0.614541667,Con.1,Coniferous
358,2014,1,30,-1.164208333,Con.3,Coniferous
359,2014,1,30,-1.305458333,Con.5,Coniferous
360,2014,1,30,-1.511916667,Con.7,Coniferous
361,2013,12,30,-1.976833333,Con.1,Coniferous
362,2013,12,30,-2.14775,Con.3,Coniferous
363,2013,12,30,-3.531,Con.5,Coniferous
364,2013,12,30,-2.916916667,Con.7,Coniferous
365,2014,1,31,-0.740291667,Con.1,Coniferous
366,2014,1,31,-1.1015,Con.3,Coniferous
367,2014,1,31,-1.326291667,Con.5,Coniferous
368,2014,1,31,-1.679583333,Con.7,Coniferous
369,2013,12,31,-1.620541667,Con.1,Coniferous
370,2013,12,31,-1.81275,Con.3,Coniferous
371,2013,12,31,-3.09,Con.5,Coniferous
372,2013,12,31,-3.084541667,Con.7,Coniferous
373,2014,1,4,-0.258708333,Con.1,Coniferous
374,2014,1,4,-0.494375,Con.3,Coniferous
375,2014,1,4,-1.074583333,Con.5,Coniferous
376,2014,1,4,-1.071791667,Con.7,Coniferous
377,2013,12,4,4.243166667,Con.1,Coniferous
378,2013,12,4,4.232791667,Con.3,Coniferous
379,2013,12,4,3.915958333,Con.5,Coniferous
380,2013,12,4,4.207791667,Con.7,Coniferous
381,2014,2,4,-0.887,Con.1,Coniferous
382,2014,2,4,-1.43625,Con.3,Coniferous
383,2014,2,4,-1.788,Con.5,Coniferous
384,2014,2,4,-2.119708333,Con.7,Coniferous
385,2014,3,4,-1.222333333,Con.1,Coniferous
386,2014,3,4,-1.791833333,Con.3,Coniferous
387,2014,3,4,-1.746,Con.5,Coniferous
388,2014,3,4,-2.287375,Con.7,Coniferous
389,2014,1,5,-1.054666667,Con.1,Coniferous
390,2014,1,5,-1.373375,Con.3,Coniferous
391,2014,1,5,-2.145125,Con.5,Coniferous
392,2014,1,5,-2.119916667,Con.7,Coniferous
393,2013,12,5,-1.788541667,Con.1,Coniferous
394,2013,12,5,-2.06425,Con.3,Coniferous
395,2013,12,5,-3.342541667,Con.5,Coniferous
396,2013,12,5,-3.022333333,Con.7,Coniferous
397,2014,2,5,-0.803166667,Con.1,Coniferous
398,2014,2,5,-0.997,Con.3,Coniferous
399,2014,2,5,-1.473,Con.5,Coniferous
400,2014,2,5,-1.700541667,Con.7,Coniferous
401,2014,3,5,-0.887,Con.1,Coniferous
402,2014,3,5,-1.227083333,Con.3,Coniferous
403,2014,3,5,-1.263416667,Con.5,Coniferous
404,2014,3,5,-1.637666667,Con.7,Coniferous
405,2014,1,6,-2.500791667,Con.1,Coniferous
406,2014,1,6,-3.152416667,Con.3,Coniferous
407,2014,1,6,-4.308,Con.5,Coniferous
408,2014,1,6,-4.448291667,Con.7,Coniferous
409,2013,12,6,-5.667083333,Con.1,Coniferous
410,2013,12,6,-5.539458333,Con.3,Coniferous
411,2013,12,6,-8.321541667,Con.5,Coniferous
412,2013,12,6,-7.575375,Con.7,Coniferous
413,2014,2,6,-1.26425,Con.1,Coniferous
414,2014,2,6,-1.833666667,Con.3,Coniferous
415,2014,2,6,-2.25,Con.5,Coniferous
416,2014,2,6,-2.644208333,Con.7,Coniferous
417,2014,3,6,-0.76125,Con.1,Coniferous
418,2014,3,6,-0.997,Con.3,Coniferous
419,2014,3,6,-1.011916667,Con.5,Coniferous
420,2014,3,6,-1.47,Con.7,Coniferous
421,2014,1,7,-2.52175,Con.1,Coniferous
422,2014,1,7,-3.298833333,Con.3,Coniferous
423,2014,1,7,-4.287,Con.5,Coniferous
424,2014,1,7,-4.595333333,Con.7,Coniferous
425,2013,12,7,-6.694958333,Con.1,Coniferous
426,2013,12,7,-6.566,Con.3,Coniferous
427,2013,12,7,-9.604625,Con.5,Coniferous
428,2013,12,7,-8.814541667,Con.7,Coniferous
429,2014,2,7,-1.6415,Con.1,Coniferous
430,2014,2,7,-2.273458333,Con.3,Coniferous
431,2014,2,7,-2.733,Con.5,Coniferous
432,2014,2,7,-3.084791667,Con.7,Coniferous
433,2014,3,7,-0.2585,Con.1,Coniferous
434,2014,3,7,-0.829333333,Con.3,Coniferous
435,2014,3,7,-0.823,Con.5,Coniferous
436,2014,3,7,-1.113708333,Con.7,Coniferous
437,2014,1,8,-2.1445,Con.1,Coniferous
438,2014,1,8,-2.859583333,Con.3,Coniferous
439,2014,1,8,-3.657,Con.5,Coniferous
440,2014,1,8,-3.965666667,Con.7,Coniferous
441,2013,12,8,-3.780166667,Con.1,Coniferous
442,2013,12,8,-3.9485,Con.3,Coniferous
443,2013,12,8,-5.359041667,Con.5,Coniferous
444,2013,12,8,-5.288125,Con.7,Coniferous
445,2014,2,8,-1.578625,Con.1,Coniferous
446,2014,2,8,-2.168666667,Con.3,Coniferous
447,2014,2,8,-2.376,Con.5,Coniferous
448,2014,2,8,-2.812,Con.7,Coniferous
449,2014,3,8,0.118,Con.1,Coniferous
450,2014,3,8,-0.075666667,Con.3,Coniferous
451,2014,3,8,-0.109708333,Con.5,Coniferous
452,2014,3,8,-0.464,Con.7,Coniferous
453,2014,1,9,-1.76725,Con.1,Coniferous
454,2014,1,9,-2.671,Con.3,Coniferous
455,2014,1,9,-3.153,Con.5,Coniferous
456,2014,1,9,-3.567166667,Con.7,Coniferous
457,2013,12,9,-1.620541667,Con.1,Coniferous
458,2013,12,9,-1.457208333,Con.3,Coniferous
459,2013,12,9,-2.67,Con.5,Coniferous
460,2013,12,9,-2.665083333,Con.7,Coniferous
461,2014,2,9,-1.159458333,Con.1,Coniferous
462,2014,2,9,-1.68725,Con.3,Coniferous
463,2014,2,9,-1.851,Con.5,Coniferous
464,2014,2,9,-2.329291667,Con.7,Coniferous
465,2014,3,9,0.074347826,Con.1,Coniferous
466,2014,3,9,-0.21026087,Con.3,Coniferous
467,2014,3,9,-0.225434783,Con.5,Coniferous
468,2014,3,9,-0.464,Con.7,Coniferous
469,2014,1,1,-1,Pr.2,Prairie
470,2014,1,1,-0.967,Pr.3,Prairie
471,2014,1,1,-1.229166667,Pr.5,Prairie
472,2014,1,1,-0.698,Pr.7,Prairie
473,2014,2,1,-0.791666667,Pr.2,Prairie
474,2014,2,1,-0.191541667,Pr.3,Prairie
475,2014,2,1,-0.354166667,Pr.5,Prairie
476,2014,2,1,-0.216458333,Pr.7,Prairie
477,2014,3,1,-0.673583333,Pr.3,Prairie
478,2014,3,1,-1.263375,Pr.7,Prairie
479,2014,1,10,-0.708333333,Pr.2,Prairie
480,2014,1,10,-0.128666667,Pr.3,Prairie
481,2014,1,10,-0.333333333,Pr.5,Prairie
482,2014,1,10,-0.090666667,Pr.7,Prairie
483,2013,12,10,-2.291666667,Pr.2,Prairie
484,2013,12,10,-2.476541667,Pr.3,Prairie
485,2013,12,10,-2.916666667,Pr.5,Prairie
486,2013,12,10,-1.619875,Pr.7,Prairie
487,2014,2,10,-1.2185,Pr.3,Prairie
488,2014,2,10,-1.074916667,Pr.7,Prairie
489,2014,3,10,0.542,Pr.3,Prairie
490,2014,3,10,0.872958333,Pr.7,Prairie
491,2014,1,11,-0.458333333,Pr.2,Prairie
492,2014,1,11,0.542,Pr.3,Prairie
493,2014,1,11,0,Pr.5,Prairie
494,2014,1,11,0.559,Pr.7,Prairie
495,2013,12,11,-3.145833333,Pr.2,Prairie
496,2013,12,11,-2.937833333,Pr.3,Prairie
497,2013,12,11,-3.104166667,Pr.5,Prairie
498,2013,12,11,-1.850208333,Pr.7,Prairie
499,2014,2,11,-1.805541667,Pr.3,Prairie
500,2014,2,11,-1.871166667,Pr.7,Prairie
501,2014,3,11,0.542,Pr.3,Prairie
502,2014,3,11,1.019458333,Pr.7,Prairie
503,2014,1,12,-0.5,Pr.2,Prairie
504,2014,1,12,0.542,Pr.3,Prairie
505,2014,1,12,0,Pr.5,Prairie
506,2014,1,12,0.475166667,Pr.7,Prairie
507,2013,12,12,-3.416666667,Pr.2,Prairie
508,2013,12,12,-2.770041667,Pr.3,Prairie
509,2013,12,12,-3.208333333,Pr.5,Prairie
510,2013,12,12,-1.976125,Pr.7,Prairie
511,2014,2,12,-0.736458333,Pr.3,Prairie
512,2014,2,12,-1.557041667,Pr.7,Prairie
513,2014,3,12,0.353375,Pr.3,Prairie
514,2014,3,12,0.03425,Pr.7,Prairie
515,2014,1,13,-0.4375,Pr.2,Prairie
516,2014,1,13,0.521041667,Pr.3,Prairie
517,2014,1,13,0,Pr.5,Prairie
518,2014,1,13,0.559,Pr.7,Prairie
519,2013,12,13,-1.916666667,Pr.2,Prairie
520,2013,12,13,-1.721583333,Pr.3,Prairie
521,2013,12,13,-2,Pr.5,Prairie
522,2013,12,13,-1.494041667,Pr.7,Prairie
523,2014,2,13,-0.2125,Pr.3,Prairie
524,2014,2,13,-0.656208333,Pr.7,Prairie
525,2014,3,13,-0.422083333,Pr.3,Prairie
526,2014,3,13,-1.537791667,Pr.7,Prairie
527,2014,1,14,-0.5,Pr.2,Prairie
528,2014,1,14,0.353375,Pr.3,Prairie
529,2014,1,14,0,Pr.5,Prairie
530,2014,1,14,0.118875,Pr.7,Prairie
531,2013,12,14,-1.5625,Pr.2,Prairie
532,2013,12,14,-1.365208333,Pr.3,Prairie
533,2013,12,14,-1.541666667,Pr.5,Prairie
534,2013,12,14,-1.012125,Pr.7,Prairie
535,2014,2,14,0.018041667,Pr.3,Prairie
536,2014,2,14,-0.258375,Pr.7,Prairie
537,2014,3,14,2.406041667,Pr.3,Prairie
538,2014,3,14,3.509291667,Pr.7,Prairie
539,2014,1,15,-0.5,Pr.2,Prairie
540,2014,1,15,0.059958333,Pr.3,Prairie
541,2014,1,15,-0.375,Pr.5,Prairie
542,2014,1,15,-0.027833333,Pr.7,Prairie
